gene	B_cells_EA	B_cells_AA	CAFs_EA	CAFs_AA	Cancer_EA	Cancer_AA	Cycling_Myeloid_EA	Cycling_Myeloid_AA	Cycling_PVL_EA	Cycling_PVL_AA	Endothelial_EA	Endothelial_AA	IFN-resp.neutrophil_EA	IFN-resp.neutrophil_AA	IL.8.neutrophil_EA	IL.8.neutrophil_AA	Lum_Prog_EA	Lum_Prog_AA	Mature_Lum_EA	Mature_Lum_AA	Myeloid_DC_EA	Myeloid_DC_AA	Myeloid_Macrophage_EA	Myeloid_Macrophage_AA	Myeloid_Monocyte_EA	Myeloid_Monocyte_AA	Myoepithelial_EA	Myoepithelial_AA	PVL_EA	PVL_AA	Plasmablast_EA	Plasmablast_AA	T_cells_EA	T_cells_AA	T_cells_CD4_EA	T_cells_CD4_AA	T_cells_CD4_Tfh_EA	T_cells_CD4_Tfh_AA	T_cells_CD4_Tregs_EA	T_cells_CD4_Tregs_AA	T_cells_CD8_EA	T_cells_CD8_AA	T_cells_NK_EA	T_cells_NK_AA	T_cells_NKT_EA	T_cells_NKT_AA	calprotectin.neutrophil_EA	calprotectin.neutrophil_AA	degraulating.neutrophil_EA	degraulating.neutrophil_AA
VAMP8	0.02	0.01	0.00	0.00	0.06	0.02	0.10	0.03	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.05	0.01	0.06	0.02	0.07	0.02	0.09	0.03	0.07	0.02	0.04	0.01	0.00	0.00	0.01	0.00	0.04	0.01	0.03	0.01	0.03	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.00	0.00	0.02	0.01
CTDNEP1	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
IDO1	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
TYMP	0.18	0.07	0.28	0.12	0.23	0.10	0.71	0.30	0.34	0.15	0.16	0.07	0.27	0.12	0.21	0.09	0.19	0.08	0.27	0.12	0.57	0.24	0.81	0.34	0.81	0.34	0.11	0.05	0.28	0.12	0.28	0.12	0.33	0.14	0.09	0.04	0.29	0.12	0.34	0.15	0.18	0.08	0.13	0.06	0.07	0.03	0.17	0.07	0.09	0.04
ITGAL	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.03	0.01	0.02	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.01	0.03	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.02	0.01	0.04	0.01	0.03	0.01	0.04	0.01
CNPY3	0.06	0.02	0.03	0.01	0.03	0.01	0.09	0.03	0.03	0.01	0.03	0.01	0.04	0.01	0.07	0.02	0.02	0.01	0.03	0.01	0.07	0.02	0.08	0.02	0.09	0.02	0.02	0.01	0.02	0.01	0.01	0.00	0.04	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.02	0.01	0.03	0.01	0.04	0.01	0.06	0.02
CXCL9	0.01	0.01	0.11	0.05	0.01	0.00	0.15	0.07	0.20	0.09	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.07	0.25	0.11	0.09	0.04	0.01	0.01	0.08	0.04	0.01	0.00	0.01	0.01	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
IRF9	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.08	0.01	0.07	0.01	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.03	0.00	0.03	0.00
CASP1	0.01	0.00	0.01	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.01	0.00	0.04	0.00	0.03	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.03	0.00	0.05	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.02	0.00	0.03	0.00	0.02	0.00	0.01	0.00	0.02	0.00	0.02	0.00	0.02	0.00
MAPKAPK2	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PLSCR1	0.02	0.00	0.03	0.00	0.02	0.00	0.06	0.01	0.04	0.01	0.06	0.01	0.09	0.01	0.08	0.01	0.04	0.01	0.03	0.00	0.05	0.01	0.07	0.01	0.06	0.01	0.04	0.00	0.03	0.00	0.00	0.00	0.06	0.01	0.01	0.00	0.02	0.00	0.01	0.00	0.03	0.00	0.03	0.00	0.02	0.00	0.03	0.00	0.07	0.01
BTN3A1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00
SMPDL3A	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
DENND2D	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00
ARRB1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ALDH3B1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01
MAN2B1	0.02	0.01	0.02	0.01	0.01	0.01	0.07	0.03	0.01	0.00	0.01	0.01	0.02	0.01	0.04	0.02	0.02	0.01	0.02	0.01	0.08	0.03	0.09	0.04	0.06	0.03	0.01	0.00	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.00	0.01	0.00	0.02	0.01	0.06	0.03
ALOX5AP	0.05	0.02	0.00	0.00	0.00	0.00	0.16	0.07	0.00	0.00	0.00	0.00	0.24	0.11	0.37	0.16	0.00	0.00	0.00	0.00	0.10	0.05	0.10	0.05	0.06	0.03	0.00	0.00	0.00	0.00	0.01	0.00	0.13	0.06	0.08	0.04	0.15	0.07	0.04	0.02	0.14	0.06	0.11	0.05	0.11	0.05	0.17	0.08	0.23	0.10
ITGB7	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.01	0.01	0.01	0.02	0.01	0.00	0.00	0.00	0.00
EHBP1L1	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.01	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00
CD6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.03	0.05	0.03	0.06	0.03	0.03	0.02	0.04	0.02	0.00	0.00	0.02	0.01	0.00	0.00	0.00	0.00
PTPN6	0.06	0.01	0.00	0.00	0.01	0.00	0.06	0.01	0.01	0.00	0.01	0.00	0.08	0.02	0.07	0.02	0.01	0.00	0.01	0.00	0.05	0.01	0.06	0.01	0.08	0.02	0.00	0.00	0.00	0.00	0.01	0.00	0.05	0.01	0.02	0.00	0.03	0.01	0.03	0.01	0.04	0.01	0.03	0.01	0.04	0.01	0.07	0.02	0.12	0.03
PLTP	0.01	0.00	0.16	0.06	0.02	0.01	0.19	0.07	0.06	0.02	0.02	0.01	0.00	0.00	0.00	0.00	0.03	0.01	0.00	0.00	0.01	0.00	0.36	0.14	0.05	0.02	0.05	0.02	0.07	0.03	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
GSN	0.01	0.01	0.27	0.14	0.06	0.03	0.15	0.08	0.17	0.09	0.25	0.13	0.05	0.03	0.06	0.03	0.10	0.05	0.10	0.05	0.15	0.08	0.15	0.07	0.08	0.04	0.21	0.11	0.23	0.12	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.02	0.01	0.02	0.01	0.04	0.02	0.18	0.09
ACTB	0.54	0.93	0.56	0.96	0.54	0.93	0.75	1.27	0.67	1.15	0.57	0.98	0.39	0.67	0.50	0.85	0.57	0.98	0.55	0.94	0.73	1.25	0.69	1.18	0.72	1.23	0.72	1.24	0.61	1.04	0.27	0.47	0.72	1.22	0.54	0.93	0.63	1.08	0.64	1.09	0.65	1.12	0.55	0.94	0.65	1.11	0.32	0.55	0.41	0.69
EFHD2	0.01	0.01	0.01	0.01	0.02	0.01	0.10	0.05	0.03	0.01	0.03	0.01	0.04	0.02	0.04	0.02	0.01	0.01	0.01	0.00	0.07	0.03	0.10	0.05	0.10	0.05	0.00	0.00	0.01	0.01	0.01	0.00	0.04	0.02	0.01	0.01	0.03	0.01	0.04	0.02	0.02	0.01	0.04	0.02	0.10	0.05	0.04	0.02	0.04	0.02
B2M	3.04	1.83	2.76	1.66	1.92	1.16	3.11	1.87	3.14	1.89	3.13	1.89	2.06	1.24	1.97	1.19	2.24	1.35	2.09	1.26	3.21	1.94	3.20	1.93	3.13	1.89	2.01	1.21	3.04	1.83	2.75	1.66	3.38	2.04	3.34	2.02	3.50	2.11	3.58	2.16	3.46	2.09	3.37	2.03	3.57	2.15	1.95	1.17	1.63	0.99
CD14	0.01	0.01	0.01	0.01	0.02	0.01	0.46	0.35	0.02	0.01	0.03	0.02	0.16	0.12	0.20	0.15	0.20	0.15	0.04	0.03	0.04	0.03	0.68	0.51	0.35	0.26	0.02	0.01	0.02	0.01	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.12	0.05	0.03
PLEKHO2	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.02	0.01	0.01	0.02	0.01	0.04	0.03	0.05	0.05	0.00	0.00	0.00	0.00	0.01	0.01	0.04	0.04	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.03	0.03	0.04	0.03
MMP9	0.01	0.01	0.04	0.02	0.00	0.00	0.17	0.11	0.05	0.03	0.01	0.00	0.05	0.03	0.02	0.01	0.00	0.00	0.00	0.00	0.03	0.02	0.15	0.09	0.06	0.03	0.00	0.00	0.05	0.03	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.10	0.07	0.15	0.09
SCPEP1	0.02	0.01	0.05	0.02	0.02	0.01	0.05	0.02	0.04	0.02	0.01	0.01	0.01	0.00	0.02	0.01	0.04	0.02	0.04	0.02	0.01	0.01	0.05	0.02	0.03	0.01	0.11	0.05	0.04	0.02	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.01	0.04	0.02
SYK	0.02	0.01	0.00	0.00	0.00	0.00	0.03	0.01	0.00	0.00	0.00	0.00	0.02	0.00	0.03	0.01	0.00	0.00	0.00	0.00	0.02	0.01	0.03	0.01	0.02	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.04	0.01
PIM1	0.00	0.00	0.01	0.00	0.00	0.00	0.02	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.03	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.03	0.01	0.02	0.01	0.02	0.00	0.02	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.01	0.00	0.01	0.00
GMIP	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.00
FLT3LG	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.02	0.01	0.01	0.00	0.02	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00
FGR	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.05	0.02	0.05	0.02	0.00	0.00	0.00	0.00	0.02	0.01	0.01	0.01	0.04	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.04	0.02	0.05	0.02
BIRC3	0.10	0.05	0.01	0.00	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.05	0.02	0.02	0.01	0.12	0.06	0.03	0.01	0.07	0.03	0.01	0.01	0.01	0.00	0.04	0.02	0.08	0.04	0.10	0.05	0.13	0.06	0.15	0.07	0.06	0.03	0.09	0.04	0.05	0.02	0.01	0.00	0.02	0.01
GRINA	0.02	0.01	0.04	0.02	0.05	0.03	0.06	0.03	0.04	0.02	0.03	0.02	0.02	0.01	0.04	0.02	0.04	0.02	0.06	0.03	0.06	0.03	0.09	0.04	0.07	0.04	0.07	0.04	0.03	0.02	0.02	0.01	0.02	0.01	0.01	0.00	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.02	0.01
CCL4L2	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.03	0.01	0.00	0.00	0.00	0.00	0.02	0.01	0.05	0.02	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.06	0.02	0.02	0.01	0.05	0.02	0.00	0.00	0.00	0.00
BLOC1S1	0.02	0.01	0.03	0.01	0.03	0.01	0.06	0.01	0.06	0.01	0.03	0.01	0.02	0.01	0.02	0.01	0.02	0.00	0.02	0.01	0.04	0.01	0.04	0.01	0.05	0.01	0.01	0.00	0.04	0.01	0.01	0.00	0.04	0.01	0.02	0.00	0.03	0.01	0.03	0.01	0.02	0.01	0.02	0.01	0.04	0.01	0.02	0.00	0.05	0.01
ZFP36L2	0.10	0.12	0.06	0.08	0.05	0.06	0.06	0.07	0.03	0.04	0.07	0.08	0.01	0.02	0.02	0.02	0.08	0.10	0.11	0.13	0.06	0.07	0.06	0.07	0.06	0.07	0.13	0.16	0.04	0.05	0.06	0.07	0.12	0.15	0.13	0.16	0.11	0.14	0.09	0.11	0.14	0.18	0.12	0.15	0.09	0.11	0.01	0.01	0.01	0.02
C17orf49	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.01	0.01	0.00	0.01	0.00	0.02	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.01	0.00	0.02	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.01
MICAL1	0.01	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.02	0.01	0.00	0.00	0.01	0.00	0.02	0.01	0.00	0.00	0.00	0.00	0.03	0.01	0.01	0.00	0.02	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.01	0.05	0.02
NINJ1	0.00	0.00	0.03	0.01	0.06	0.02	0.08	0.03	0.02	0.01	0.02	0.01	0.12	0.05	0.13	0.05	0.04	0.02	0.09	0.03	0.05	0.02	0.13	0.05	0.10	0.04	0.03	0.01	0.02	0.01	0.01	0.01	0.03	0.01	0.02	0.01	0.04	0.01	0.04	0.01	0.02	0.01	0.04	0.02	0.02	0.01	0.10	0.04	0.05	0.02
GABARAP	0.09	0.03	0.11	0.04	0.11	0.04	0.18	0.07	0.08	0.03	0.10	0.04	0.16	0.06	0.26	0.10	0.16	0.06	0.16	0.06	0.15	0.06	0.20	0.08	0.18	0.07	0.14	0.05	0.09	0.03	0.09	0.03	0.11	0.04	0.08	0.03	0.11	0.04	0.10	0.04	0.10	0.04	0.07	0.03	0.06	0.02	0.13	0.05	0.14	0.06
CXCL10	0.02	0.01	0.06	0.03	0.02	0.01	0.18	0.08	0.05	0.02	0.02	0.01	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.06	0.03	0.28	0.12	0.13	0.06	0.03	0.01	0.03	0.01	0.02	0.01	0.02	0.01	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SGK1	0.01	0.01	0.01	0.01	0.01	0.01	0.06	0.06	0.02	0.02	0.04	0.04	0.01	0.01	0.04	0.04	0.03	0.03	0.00	0.00	0.05	0.05	0.07	0.07	0.04	0.05	0.07	0.07	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.01	0.01	0.01	0.01
RNPEPL1	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.02	0.01
APBB1IP	0.03	0.01	0.00	0.00	0.00	0.00	0.04	0.02	0.00	0.00	0.00	0.00	0.02	0.01	0.02	0.01	0.00	0.00	0.00	0.00	0.03	0.01	0.04	0.02	0.03	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.02	0.03	0.01	0.03	0.01	0.04	0.02	0.04	0.02	0.02	0.01	0.03	0.01	0.03	0.01	0.02	0.01
RHOG	0.06	0.04	0.04	0.02	0.03	0.02	0.17	0.11	0.04	0.03	0.05	0.03	0.12	0.08	0.08	0.05	0.03	0.02	0.03	0.02	0.12	0.08	0.18	0.12	0.18	0.11	0.03	0.02	0.04	0.02	0.02	0.01	0.11	0.07	0.07	0.05	0.09	0.06	0.13	0.08	0.08	0.05	0.05	0.03	0.07	0.05	0.15	0.09	0.18	0.11
CORO1A	0.46	0.22	0.01	0.01	0.01	0.01	0.37	0.17	0.01	0.00	0.02	0.01	0.35	0.17	0.24	0.11	0.01	0.00	0.01	0.00	0.34	0.16	0.20	0.09	0.43	0.21	0.01	0.00	0.01	0.01	0.05	0.02	0.64	0.30	0.40	0.19	0.41	0.19	0.49	0.23	0.55	0.26	0.37	0.18	0.50	0.24	0.37	0.17	0.56	0.26
APLP2	0.02	0.01	0.03	0.02	0.05	0.03	0.06	0.04	0.04	0.02	0.06	0.03	0.04	0.02	0.11	0.06	0.03	0.02	0.08	0.04	0.02	0.01	0.07	0.04	0.05	0.03	0.05	0.03	0.03	0.02	0.00	0.00	0.01	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.03	0.02	0.04	0.02
TMEM86A	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FCN1	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.00	0.00	0.00	0.00	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.10	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.07	0.02
NOSIP	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.02	0.01	0.02	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00
USF2	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
BCL2A1	0.02	0.00	0.00	0.00	0.00	0.00	0.03	0.01	0.00	0.00	0.00	0.00	0.09	0.01	0.14	0.02	0.00	0.00	0.00	0.00	0.04	0.01	0.04	0.01	0.07	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.07	0.01	0.05	0.01
STAT5A	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SNX11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
IRF5	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HK3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.05	0.01
LAT	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.02	0.04	0.01	0.06	0.02	0.06	0.02	0.05	0.02	0.02	0.01	0.03	0.01	0.00	0.00	0.00	0.00
ZNF385A	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.02	0.00	0.00	0.00	0.02	0.00	0.03	0.00	0.03	0.00	0.03	0.01	0.02	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00
MPDU1	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.01	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00
TMBIM1	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.01	0.00	0.02	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.02	0.01
